ID;Phase/Priorität;Task;Akzeptanzkriterium;Abhängigkeit;Owner
EYT-IAM-001;Phase B – P1: Fachliches MVP;Rollen, atomare Rechte, serverseitige Autorisierung;"jede Command-Route prüft Tenant, Rolle und Recht; Cross-Tenant-Tests grün";AUTH-001;Backend/Security
EYT-API-001;Phase B – P1: Fachliches MVP;OpenAPI und generierter Client;"API-Spezifikation versioniert; Client in beiden Shells genutzt; Contract-Test grün";INT-003;Backend/Frontend
EYT-PLAN-001;Phase B – P1: Fachliches MVP;Assignment Commands/Queries;Erstellen, Verschieben, Tauschen, Entfernen und Tagesmehrfachzuweisung über Domain Commands;DATA-001, IAM-001, API-001;Backend
EYT-PLAN-002;Phase B – P1: Fachliches MVP;Deterministische Konfliktprüfung;Abwesenheit, Kapazität, Person-/Ressourcenüberlappung und Skills serverseitig getestet;PLAN-001;Backend/Domain
EYT-PLAN-003;Phase B – P1: Fachliches MVP;Planversion und atomare Veröffentlichung;Publish erzeugt unveränderliche Version, revalidiert, auditiert und blockiert harte Konflikte;PLAN-002;Backend
EYT-ACK-001;Phase B – P1: Fachliches MVP;Bestätigung/Ablehnung/Re-Confirmation;"Mitarbeiterstatus ist an Planversion/Änderung gebunden; Pflichtgrund validiert";PLAN-003;Fullstack
EYT-ABS-001;Phase B – P1: Fachliches MVP;Abwesenheitsworkflow;Antrag, Entscheidung, Sichtbarkeit und Planungswirkung funktionieren mit Audit;IAM-001;Fullstack
EYT-SKILL-001;Phase B – P1: Fachliches MVP;Skills/Qualifikationen;"atomare Skills pflegbar; fehlende Skills als Hinweis, nicht stillschweigende Ablehnung";DATA-001;Fullstack
EYT-RES-001;Phase B – P1: Fachliches MVP;Geräte/Fahrzeuge/Zustandsmeldung;eindeutige Ressourcen, Reservierung, Verfügbarkeit, Zustandsstatus und sichere Uploads;DATA-001;Fullstack
EYT-TIME-001;Phase B – P1: Fachliches MVP;Arbeitszeit Start/Stop;"genau eine aktive Buchung pro Mitarbeiter; idempotente Commands; UTC/IANA-Zeitmodell";IAM-001, API-001;Backend/Frontend
EYT-TIME-002;Phase B – P1: Fachliches MVP;Freigabe/Korrektur/Audit;"Original bleibt erhalten; Korrektur braucht Grund und Berechtigung; Exportstatus sichtbar";TIME-001;Fullstack
EYT-WX-001;Phase B – P1: Fachliches MVP;Wetter-/Warnungsadapter;"Provider über Serveradapter, Cache, Timeout, Fehlerstatus und Provenienz; keine Browser-Direktcalls";API-001;Backend
EYT-NOTIF-001;Phase B – P1: Fachliches MVP;In-App/E-Mail/Reminder-Outbox;"Publish/Änderung erzeugt idempotente Events; Retry/Dead Letter/Reconciliation sichtbar";PLAN-003;Backend/Worker
EYT-PWA-001;Phase B – P1: Fachliches MVP;Installierbare Online-/Read-only-PWA;"Manifest/Icons/Service Worker; Lesen bei Cache möglich; Schreiben offline klar blockiert";CD-003;Frontend
EYT-TEST-001;Phase B – P1: Fachliches MVP;Kritische E2E-/A11y-/Contract-Suite;Planen→Publizieren→Bestätigen→Zeit→Korrektur läuft gegen reale lokale DB/API;PLAN-003, ACK-001, TIME-002;QA/Fullstack
EYT-SEC-001;Phase C – P2: Release- und Pilotgates;Threat Model, Datenschutz, Retention, Uploadschutz;"freigegebene Datenfluss-/Rechtematrix; keine offenen Extreme-Findings";P1 Kern;Security/Product
EYT-OPS-001;Phase C – P2: Release- und Pilotgates;Logs, Metriken, Traces, Alerts, Runbooks;"kritische Commands korrelierbar; Alarm- und Incidentpfad getestet";P1 Kern;Platform
EYT-OPS-002;Phase C – P2: Release- und Pilotgates;Backup/Restore/Migration/Rollback-Probe;Restore und Rollback in Testumgebung erfolgreich dokumentiert;DATA-001;Platform/DB
EYT-PERF-001;Phase C – P2: Release- und Pilotgates;Repräsentativer Last-/Konflikttest;12 aktive Nutzer und 3 parallele Baustellen im Pilotprofil ohne definierte SLO-Verletzung;TEST-001;QA/Platform
EYT-PILOT-001;Phase C – P2: Release- und Pilotgates;Pilot und Abnahme;"GF/Admin/Mitarbeiter akzeptieren Kernreisen; Defekte und Rest-Risiken dokumentiert";SEC/OPS/PERF;Product
EYT-REL-001;Phase C – P2: Release- und Pilotgates;Produktionsfreigabe;alle PRD-, Security-, Legal-, Operations- und Rollback-Gates mit Evidenz bestanden;PILOT-001;Accountable Owner
