requirement_id,source_ids,acceptance_criteria_ids,test_ids,task_ids,risk_ids
FR-030,SRC-002,AC-030,TEST-004;TEST-008,TASK-018,RISK-011;RISK-006
FR-031,SRC-002,AC-031,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-032,SRC-002,AC-032,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-033,SRC-002,AC-033,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-034,SRC-002,AC-034,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-035,SRC-002,AC-035,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-036,SRC-002,AC-036,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-037,SRC-002,AC-037,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-038,SRC-002,AC-038,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-039,SRC-002,AC-039,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-040,SRC-002,AC-040,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-041,SRC-002,AC-041,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-042,SRC-002,AC-042,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
NFR-001,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-002,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-003,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-004,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-005,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-006,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-007,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-008,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-009,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-010,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-011,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-012,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-013,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-014,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-015,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
DATA-001,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-002,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-003,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-004,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-005,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-006,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-007,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-008,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-009,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-010,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-011,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-012,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-013,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-014,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-015,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-016,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-017,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-018,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-019,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-020,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
API-001,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-002,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-003,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-004,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-005,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-006,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-007,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-008,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-009,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-010,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-011,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-012,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-013,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-014,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-015,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-016,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
ARCH-001,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-002,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-003,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-004,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-005,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-006,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-007,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-008,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-009,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-010,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-011,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-012,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
SEC-001,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-002,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-003,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-004,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-005,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-006,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-007,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-008,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-009,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-010,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-011,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-012,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-013,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-014,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-015,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
FR-043,SRC-009,AC-043,TEST-019,TASK-029,RISK-015
FR-044,SRC-007;SRC-002,AC-044,TEST-002;TEST-003;TEST-017,TASK-008,RISK-003;RISK-009
NFR-016,SRC-008;SRC-005,AC-043,TEST-016,TASK-027,RISK-008;RISK-013
NFR-017,SRC-007,,TEST-012;TEST-015;TEST-017,TASK-025,RISK-001;RISK-002
DATA-021,SRC-008,AC-043,TEST-016,TASK-027,RISK-013
API-017,SRC-008;SRC-005,AC-043,TEST-003;TEST-016,TASK-027,RISK-008;RISK-013
ARCH-013,SRC-005;SRC-008,AC-043,TEST-003;TEST-016,TASK-027,RISK-008;RISK-013
FR-045,SRC-009;SRC-011,AC-045,TEST-016,TASK-029,RISK-013;RISK-014
FR-046,SRC-009;SRC-013,AC-045;AC-046,TEST-016,TASK-029,RISK-014
FR-047,SRC-009;SRC-011,AC-047,TEST-018,TASK-029,RISK-014;RISK-015
FR-048,SRC-009,AC-048,TEST-019,TASK-029,RISK-013
FR-049,SRC-009;SRC-011,AC-049,TEST-016,TASK-029,RISK-015
NFR-018,SRC-009;SRC-011;SRC-013,AC-046,TEST-016;TEST-018,TASK-029,RISK-014
NFR-019,SRC-009;SRC-011,AC-047,TEST-018,TASK-029,RISK-015
DATA-022,SRC-009;SRC-011,AC-047,TEST-018,TASK-029,RISK-014;RISK-015
API-018,SRC-009;SRC-011,AC-047,TEST-018,TASK-029,RISK-014
ARCH-014,SRC-009;SRC-010,AC-043,TEST-019,TASK-028,
ARCH-015,SRC-009;SRC-011;SRC-013,,TEST-020,TASK-028,RISK-016
SEC-017,SRC-012,,TEST-020,TASK-031,RISK-004
OBS-012,SRC-009;SRC-013,,,TASK-030,
DATA-023,SRC-014,AC-065,TEST-022,TASK-033,RISK-018
DATA-025,SRC-014,AC-067,TEST-023,TASK-034,RISK-018
DATA-026,SRC-014,AC-068,TEST-023,TASK-035,RISK-019
API-019,SRC-014,AC-063;AC-065,TEST-021;TEST-022,TASK-033,RISK-017;RISK-018
API-020,SRC-014,AC-066;AC-067;AC-069,TEST-023,TASK-034;TASK-036,RISK-018
API-021,SRC-014,AC-068,TEST-023;TEST-024,TASK-035,RISK-019
ARCH-017,SRC-014,AC-062;AC-070,TEST-024,TASK-032,RISK-019
ARCH-018,SRC-014,AC-065;AC-069,TEST-022;TEST-023,TASK-033;TASK-036,RISK-018
SEC-019,SRC-014,AC-063,TEST-021,TASK-036,RISK-017
SEC-020,SRC-014,AC-065;AC-069,TEST-021;TEST-022,TASK-036,RISK-017;RISK-018
FR-062,SRC-014,AC-062,TEST-024,TASK-032,RISK-019
FR-063,SRC-014,AC-063,TEST-021,TASK-032;TASK-036,RISK-017
FR-064,SRC-014,AC-064,TEST-022;TEST-023,TASK-033,RISK-017
FR-065,SRC-014,AC-065,TEST-022,TASK-033,RISK-018
FR-066,SRC-014,AC-066,TEST-023,TASK-034,RISK-018
FR-067,SRC-014,AC-067,TEST-023,TASK-034,RISK-018
FR-068,SRC-014,AC-068,TEST-023;TEST-024,TASK-035,RISK-019
FR-069,SRC-014,AC-069,TEST-021;TEST-023,TASK-036,RISK-017;RISK-018
FR-070,SRC-014,AC-070,TEST-024,TASK-032;TASK-036,RISK-019
