requirement_id,source_ids,acceptance_criteria_ids,test_ids,task_ids,risk_ids
FR-030,SRC-002,AC-030,TEST-004;TEST-008,TASK-018,RISK-011;RISK-006
FR-031,SRC-002,AC-031,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-032,SRC-002,AC-032,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-033,SRC-002,AC-033,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-034,SRC-002,AC-034,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-035,SRC-002,AC-035,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-036,SRC-002,AC-036,TEST-004;TEST-009;TEST-011;TEST-012,TASK-020;TASK-021;TASK-022;TASK-023,RISK-007;RISK-008;RISK-010
FR-037,SRC-002,AC-037,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-038,SRC-002,AC-038,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-039,SRC-002,AC-039,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-040,SRC-002,AC-040,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-041,SRC-002,AC-041,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
FR-042,SRC-002,AC-042,TEST-001;TEST-004;TEST-006;TEST-014,TASK-007;TASK-012;TASK-015;TASK-017,RISK-005;RISK-009
NFR-001,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-002,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-003,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-004,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-005,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-006,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-007,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-008,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-009,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-010,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-011,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-012,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-013,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-014,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
NFR-015,SRC-002;SRC-004,,TEST-010;TEST-011;TEST-012;TEST-014,TASK-003;TASK-004;TASK-024;TASK-025,RISK-001;RISK-002;RISK-003;RISK-006
DATA-001,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-002,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-003,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-004,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-005,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-006,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-007,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-008,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-009,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-010,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-011,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-012,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-013,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-014,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-015,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-016,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-017,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-018,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-019,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
DATA-020,SRC-002,,TEST-001;TEST-002;TEST-003,TASK-003;TASK-004,RISK-003;RISK-006;RISK-009
API-001,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-002,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-003,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-004,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-005,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-006,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-007,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-008,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-009,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-010,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-011,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-012,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-013,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-014,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-015,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
API-016,SRC-002;SRC-005,,TEST-003;TEST-014,TASK-003;TASK-004,RISK-003;RISK-005;RISK-008
ARCH-001,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-002,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-003,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-004,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-005,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-006,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-007,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-008,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-009,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-010,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-011,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
ARCH-012,SRC-005;SRC-006,,TEST-001;TEST-003;TEST-014,TASK-003;TASK-004,RISK-001;RISK-008;RISK-009
SEC-001,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-002,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-003,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-004,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-005,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-006,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-007,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-008,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-009,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-010,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-011,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-012,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-013,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-014,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
SEC-015,SRC-002;SRC-004,,TEST-002;TEST-007;TEST-014,TASK-003;TASK-005;TASK-006;TASK-019;TASK-025,RISK-003;RISK-004;RISK-006;RISK-012
FR-043,SRC-008,AC-043,TEST-016,TASK-027,RISK-013
FR-044,SRC-007;SRC-002,AC-044,TEST-002;TEST-003;TEST-017,TASK-008,RISK-003;RISK-009
NFR-016,SRC-008;SRC-005,AC-043,TEST-016,TASK-027,RISK-008;RISK-013
NFR-017,SRC-007,,TEST-012;TEST-015;TEST-017,TASK-025,RISK-001;RISK-002
DATA-021,SRC-008,AC-043,TEST-016,TASK-027,RISK-013
API-017,SRC-008;SRC-005,AC-043,TEST-003;TEST-016,TASK-027,RISK-008;RISK-013
ARCH-013,SRC-005;SRC-008,AC-043,TEST-003;TEST-016,TASK-027,RISK-008;RISK-013
